Actors,film_count,average_rating
Rade Serbedzija,2,8.2
Raffaello Degruttola,2,8.4
Ralph Fiennes,3,8.4
Rance Howard,2,8.1
Rand Faris,2,8.4
Rashida Jones,2,8.1
Ray Collins,2,8.2
Ray Teal,2,8.2
Ray Walston,2,8.3
Rebecca Klingler,2,8.4
Ricardo Darín,2,8.1
Rich Turner,2,8.6
Richard Attenborough,2,8.2
Richard Bright,3,8.8
Richard Dreyfuss,2,8.1
Richard Fitzpatrick,2,8.2
Richard Harris,2,8.4
Richard Kind,2,8.2
Richard Laing,2,8.1
Richard Sammel,2,8.5
Richmond Arquette,2,8.7
Rick Ducommun,2,8.1
Ritchie Montgomery,3,8.2
River Phoenix,2,8.1
Robert Clotworthy,2,8.1
Robert De Niro,9,8.4
Robert Downey Jr.,3,8.4
Robert Duvall,5,8.6
Robert Pollock,2,8.9
Robert Pralgo,2,8.4
Robert Redford,2,8.4
Robert Ruth,3,8.4
Robert Shaw,2,8.2
Robert Symonds,2,8.1
Robin Williams,3,8.1
Rodger Bumpass,3,8.3
Roger Corman,2,8.8
Roger Yuan,2,8.4
Ronald Maccone,2,8.4
Ross Marquand,2,8.4
Rudy Bond,2,8.6
Russ Fega,5,8.6
Russell Crowe,3,8.3
Rutger Hauer,2,8.1
Ruth Zalduondo,2,8.5
Ryan O'Donohue,2,8.2
Ryunosuke Kamiki,3,8.4
Sachio Sakai,2,8.4
Sala Baker,3,8.9
Sam Rockwell,2,8.4
Samia Shoaib,2,8.2
Samuel L. Jackson,6,8.5
Sarah McLeod,2,9.0
Scarlett Johansson,3,8.4
Scatman Crothers,2,8.6
Scoot McNairy,2,8.1
Scott Glenn,2,8.5
Sean Astin,3,8.9
Sean Bean,2,9.0
Sean Gunn,2,8.4
Sean Lawlor,2,8.2
Sebastian Stan,2,8.4
Seiji Miyaguchi,2,8.4
Senkichi Ômura,3,8.4
Sergio Mendizábal,2,8.5
Shakira Ja'nai Paye,2,8.5
Shameik Moore,2,8.5
Shane Rimmer,2,8.2
Shankar Sachdev,2,8.4
Shay Duffin,2,8.3
Shea Whigham,3,8.4
Sherry Lynn,8,8.2
Shin Ôtomo,2,8.4
Shinji Tokumaru,2,8.4
Shinpei Takagi,2,8.4
Shirô Saitô,2,8.4
Shôichi Hirose,2,8.4
Sigourney Weaver,3,8.4
Song Kang-ho,2,8.3
Stan Lee,3,8.4
Stellan Skarsgård,2,8.4
Stephen Dunlevy,2,8.1
Stephen Root,2,8.2
Stephen Tobolowsky,2,8.2
Stephen Ure,2,8.9
Sterling Hayden,2,8.8
Steve Buscemi,5,8.3
Steve Witting,3,8.2
Steven Berkoff,2,8.1
Stuart Rudin,2,8.6
Sumi Shimamoto,2,8.2
Susumu Fujita,2,8.3
Suzanne Shepherd,2,8.5
Takashi Shimura,5,8.3
Takeshi Katô,3,8.3
Talia Shire,3,8.8
Tara Strong,2,8.4
Taran Killam,2,8.4
Tatsuya Gashûin,2,8.4
Tatsuya Nakadai,4,8.4
Ted Grossman,4,8.2
Ted Levine,3,8.4
Teddy Newton,4,8.2
Tere Livrano,2,9.1
Teresa Ganzel,3,8.2
Terry Notary,2,8.4
Thelma Ritter,2,8.4
Theodor Loos,2,8.3
Thomas B. Duffy,2,8.4
Thomas Kopache,2,8.1
Thomas Kretschmann,2,8.4
Thomas Lennon,2,8.4
Thomas Mitchell,3,8.3
Thomas Rosales Jr.,2,8.2
Thomas Thieme,2,8.3
Tilda Swinton,2,8.2
Tim Allen,2,8.3
Tim Roth,2,8.6
Timothée Chalamet,2,8.6
Tom Berenger,2,8.4
Tom Conti,2,8.4
Tom Hanks,6,8.5
Tom Hardy,4,8.4
Tom Hiddleston,2,8.4
Tom Holland,3,8.3
Tom Kemp,2,8.4
Tom Sizemore,2,8.4
Tom Vaughan-Lawlor,2,8.4
Tom Wilkinson,4,8.2
Tomas Arana,3,8.4
Tommy Flanagan,2,8.4
Toni Collette,2,8.1
Tony Burton,2,8.2
Tony Fucile,3,8.2
Tony Revolori,2,8.1
Tony Todd,2,8.1
Toranosuke Ogawa,2,8.4
Toshirô Mifune,4,8.4
Trevor Steedman,2,8.3
Tsunehiko Kamijô,2,8.4
Uma Thurman,2,8.6
Val Kilmer,2,8.2
Valerie Colgan,2,8.5
Vernon Dobtcheff,2,8.1
Victor Magnotta,2,8.1
Victoria Beynon-Cole,2,8.9
Viggo Mortensen,4,8.7
Vin Diesel,4,8.4
Vince Vaughn,2,8.1
Vincent Foster,2,8.7
Vincent Riotta,2,8.6
Vincent Schiavelli,2,8.6
Vinnie Jones,2,8.1
Viola Davis,2,8.1
Volker Zack,3,8.3
Wallace Shawn,3,8.2
Ward Bond,3,8.3
Ward Horton,2,8.1
Warren Keith,2,8.1
Warren Sroka,3,8.4
Warwick Davis,2,8.2
Welker White,3,8.3
Wes Bentley,2,8.5
Whoopi Goldberg,2,8.4
Will Zahrn,2,8.6
Willem Dafoe,4,8.1
William Davidson,2,8.4
William Devane,2,8.6
William Fichtner,2,8.6
William H. Macy,2,8.1
William Holden,3,8.2
William Hootkins,2,8.5
William Hurt,3,8.3
William Morgan Sheppard,2,8.4
William Sadler,2,9.0
Winston Duke,2,8.4
Wolf Kahler,2,8.2
Woody Harrelson,2,8.1
Xander Berkeley,2,8.4
Yayoi Kazuki,2,8.4
Yoshio Inaba,2,8.6
Yoshio Tsuchiya,3,8.4
Yuji Okumoto,2,8.5
Yutaka Sada,2,8.3
Yô Ôizumi,2,8.4
Yûnosuke Itô,2,8.4
Zarrin Darnell-Martin,2,8.1
Zendaya,2,8.4
Zoe Saldana,3,8.3
Zoë Kravitz,2,8.2
Åke Fridell,2,8.1
